CO_ANO;NO_PAIS;CORRENTE;RANK
2024;Guiana Francesa;5.962.644;178
2024;Dominica;5.588.602;179
2024;São Vicente e Granadinas;5.150.512;180
2024;Gibraltar;5.089.992;181
2024;Tonga;5.045.704;182
2024;Papua Nova Guiné;4.634.696;183
2024;São Tomé e Príncipe;4.567.758;184
2024;Cook, Ilhas;4.313.262;185
2024;Bonaire, Saint Eustatius e Saba;4.132.782;186
2024;Afeganistão;4.116.877;187
2024;Samoa;3.917.216;188
2024;Butão;3.495.713;189
2024;República Centro-Africana;3.225.810;190
2024;Macau;3.201.544;191
2024;Mali;3.117.056;192
2024;Ruanda;3.049.505;193
2024;Nauru;2.811.440;194
2024;Palau;2.270.102;195
2024;São Bartolomeu;2.224.066;196
2024;Tadjiquistão;2.154.521;197
2024;Samoa Americana;2.130.271;198
2024;Turcas e Caicos, Ilhas;1.960.088;199
2024;Toquelau;1.875.214;200
2024;Sudão do Sul;1.852.991;201
2024;Níger;1.727.252;202
2024;Anguilla;1.344.410;203
2024;Norfolk, Ilha;1.147.181;204
2024;Pacífico, Ilhas do (EUA);1.103.943;205
2024;Fiji;1.082.836;206
2024;Botsuana;1.070.170;207
2024;Terras Austrais Francesas;635.334;208
2024;Suazilândia;603.402;209
2024;Quirguistão;488.950;210
2024;Cocos (Keeling), Ilhas;420.206;211
2024;Vaticano;408.975;212
2024;Marianas do Norte, Ilhas;395.115;213
2024;Montserrat;301.253;214
2024;Kiribati;265.989;215
2024;Eritreia;201.037;216
2024;Andorra;179.175;217
2024;Micronésia;177.588;218
2024;Salomão, Ilhas;173.382;219
2024;Antártica;127.267;220
2024;Falkland (Malvinas);102.812;221
2024;Guernsey;92.076;222
2024;Bouvet, Ilha;81.788;223
2024;Niue;62.455;224
2024;Pitcairn;60.992;225
2024;Burundi;33.478;226
2024;Geórgia do Sul e Sandwich do Sul, Ilhas;33.024;227
2024;Saara Ocidental;25.305;228
2024;Lesoto;23.934;229
2024;Groenlândia;18.404;230
2024;Svalbard e Jan Mayen;11.446;231
2024;Djibuti;;
2024;Faroe, Ilhas;;
2024;Guam;;
2024;Heard e ilhas mcdonald, Ilha;;
2024;Martinica;;
2024;Mayotte;;
2024;Sint Maarten;;
2024;São Martinho, Ilha de (parte francesa);;
2024;São Pedro e Miquelon;;
2024;Vanuatu;;
2024;Virgens, Ilhas (Americanas);;
2024;Wallis e Futuna, Ilhas;;
2024;Aland, Ilhas;;
2024;Bancos Centrais;;
2024;Christmas (Navidad), Ilha;;
2024;Coreia do Norte;;
2024;Organizações Internacionais;;
2024;Santa Helena;;
2024;Território Britânico do Oceano Índico;;
2024;Tuvalu;;
